class,score
-1,1.0192055070848496
-1,0.9247672182952834
-1,0.9240201259936324
-1,0.8878984497383365
-1,0.6746817808026396
-1,0.6409560163255701
-1,0.8141396379959318
-1,0.5897603047841593
-1,0.9707911361820278
-1,0.7296488782382444
-1,0.9661010205781372
-1,0.641284662150385
-1,0.8925039522929312
-1,0.7956937782158452
-1,0.9077951848174635
-1,0.6687952421894738
-1,0.7395892393274528
-1,0.6196249860500257
-1,1.191747963613879
-1,0.661463044494928
-1,0.7715339700786308
-1,0.7640427220598174
-1,0.9109055743645901
-1,1.017191730519131
-1,0.8324435966968005
-1,0.9086692694805396
-1,0.6470519138698265
-1,1.2983256730247386
-1,0.6986963416545136
-1,0.8050305568606597
-1,0.6462965622185431
-1,0.8359818881204724
-1,0.7635999392255449
-1,0.7087359781174901
-1,0.9952632080099109
-1,0.7640427220598174
-1,1.097278091484472
-1,0.637900358163471
-1,0.9829821135336411
-1,1.4254010898385527
-1,0.7562854278105711
-1,0.6440862731581742
-1,1.0851433665678654
-1,0.7262054319426876
-1,0.9385920496741472
-1,0.9725501269938861
-1,0.8563800105175285
-1,0.6310612205648698
-1,1.6142165889156257
-1,0.9754033249850396
-1,0.7973819089355316
-1,0.6196249860500257
-1,0.8388258663903703
-1,0.9661010205781372
-1,0.7117046430302932
-1,0.6311528644383457
-1,0.9614656349316836
-1,0.8360641348790062
-1,0.7170096991538227
-1,0.8626382915580241
-1,0.8741035668484465
-1,0.7896438102485598
-1,1.3009130614944275
-1,0.729600923254284
-1,1.1966317144139602
-1,1.6356018790004665
-1,0.6795788928690252
-1,0.6461988670082799
-1,0.6377865318725899
-1,0.9504115660823251
-1,0.903183691539762
-1,1.2561286446415245
-1,0.9157315408583568
-1,1.2391877911651923
-1,0.716358071975514
-1,0.7244719961171768
-1,1.0845188578498426
-1,0.7702799519669883
-1,0.7296009108858863
-1,1.6980435635469768
-1,0.9513831959026408
-1,0.8119912421988787
-1,1.103900965008554
-1,0.6461988670082799
-1,1.1376671132850467
-1,0.661463044494928
-1,0.9659766504701791
-1,1.1922711021325652
-1,1.0788801653904683
-1,0.5897603047841593
-1,0.677427235300271
-1,0.911655342161388
-1,0.8942954359202814
-1,0.983463117213242
-1,0.9221125225543445
-1,0.774551666909401
-1,1.1470188843041336
-1,1.30706686648277
-1,1.1922711021325652
-1,0.9614656349316836
-1,0.8386389607189809
-1,1.0927626913838997
-1,0.8811975203061422
-1,0.7510775621621255
-1,0.8161102784430341
-1,0.8741035668484465
-1,1.0448852423830939
-1,0.7266349555926483
-1,1.2214179488151218
-1,0.9127696214361416
-1,0.8408198478285429
-1,0.8119105004945459
-1,0.9240201259936324
-1,1.1932652390633882
-1,0.8958127422336674
-1,0.774660553539288
-1,0.7850978510315585
-1,0.7229155450940348
-1,0.8870718005643091
-1,0.8388258663903703
-1,1.0679497678382182
-1,0.7576824335134559
-1,1.0374165035165706
-1,0.7797819213640877
1,0.9814761501816262
-1,0.9748875638973142
-1,0.7169653234525084
-1,0.7085196585174067
-1,0.770531279491677
-1,0.9829821135336411
-1,0.7512242780643167
-1,0.9101031511114318
-1,0.9793487727856216
-1,0.6948109272816481
